"subject","block","event","position","condition","response","rt","accuracy","experiment","test","chance"
3601810,2,1,1,"predictable","cat",1582.77,1,1,"order memory",0.166666666666667
3601810,2,1,2,"predictable","grasshopper",1769.56,1,1,"order memory",0.166666666666667
3601810,2,1,3,"predictable","wolf",1960.96,1,1,"order memory",0.166666666666667
3601810,2,1,4,"predictable","ferret",1652.38,1,1,"order memory",0.166666666666667
3601810,2,1,5,"predictable","goldenretriever",1145.56,1,1,"order memory",0.166666666666667
3601810,2,1,6,"predictable","elephant",574.61,1,1,"order memory",0.166666666666667
3601810,3,4,1,"predictable","bear",1699.02,1,1,"order memory",0.166666666666667
3601810,3,4,2,"predictable","beetle",981.53,1,1,"order memory",0.166666666666667
3601810,3,4,3,"predictable","horse",2085.18,1,1,"order memory",0.166666666666667
3601810,3,4,4,"predictable","rhino",3010.56,1,1,"order memory",0.166666666666667
3601810,3,4,5,"predictable","emu",1711.78,1,1,"order memory",0.166666666666667
3601810,3,4,6,"predictable","iguana",432.58,1,1,"order memory",0.166666666666667
3601810,3,2,1,"variable","cake",2740.24,1,1,"order memory",0.166666666666667
3601810,3,2,2,"variable","potatochips",1364.09,1,1,"order memory",0.166666666666667
3601810,3,2,3,"variable","nachos",2973.53,1,1,"order memory",0.166666666666667
3601810,3,2,4,"variable","croissant",1934.41,0,1,"order memory",0.166666666666667
3601810,3,2,5,"variable","hotdog",1473.22,0,1,"order memory",0.166666666666667
3601810,3,2,6,"variable","donut",1054.28,1,1,"order memory",0.166666666666667
3601810,4,2,1,"predictable","goat",2122.97,1,1,"order memory",0.166666666666667
3601810,4,2,2,"predictable","badger",1939.73,1,1,"order memory",0.166666666666667
3601810,4,2,3,"predictable","pug",6925.54,0,1,"order memory",0.166666666666667
3601810,4,2,4,"predictable","llama",1854.85,0,1,"order memory",0.166666666666667
3601810,4,2,5,"predictable","chimp",788.73,1,1,"order memory",0.166666666666667
3601810,4,2,6,"predictable","frog",581.33,1,1,"order memory",0.166666666666667
3601810,4,4,1,"variable","poutine",1996.09,1,1,"order memory",0.166666666666667
3601810,4,4,2,"variable","cereal",1020.74,1,1,"order memory",0.166666666666667
3601810,4,4,3,"variable","beet",1448.09,1,1,"order memory",0.166666666666667
3601810,4,4,4,"variable","strawberries",3809.59,1,1,"order memory",0.166666666666667
3601810,4,4,5,"variable","starfruit",3727.14,0,1,"order memory",0.166666666666667
3601810,4,4,6,"variable","ramen",665.1,0,1,"order memory",0.166666666666667
3601810,5,3,1,"predictable","butterfly",1757.54,1,1,"order memory",0.166666666666667
3601810,5,3,2,"predictable","chicken",975.99,1,1,"order memory",0.166666666666667
3601810,5,3,3,"predictable","chameleon",1489.3,1,1,"order memory",0.166666666666667
3601810,5,3,4,"predictable","hedgehog",1066.05,1,1,"order memory",0.166666666666667
3601810,5,3,5,"predictable","rat",1171.92,1,1,"order memory",0.166666666666667
3601810,5,3,6,"predictable","crocodile",890.23,1,1,"order memory",0.166666666666667
3601810,5,1,1,"variable","smores",1872.91,1,1,"order memory",0.166666666666667
3601810,5,1,2,"variable","raspberries",1385.48,1,1,"order memory",0.166666666666667
3601810,5,1,3,"variable","carrots",1290.48,0,1,"order memory",0.166666666666667
3601810,5,1,4,"variable","peanutbutter",2201.2,0,1,"order memory",0.166666666666667
3601810,5,1,5,"variable","muffin",2051.38,0,1,"order memory",0.166666666666667
3601810,5,1,6,"variable","pomegranate",486.23,0,1,"order memory",0.166666666666667
3601810,6,3,1,"predictable","penguin",2103.37,1,1,"order memory",0.166666666666667
3601810,6,3,2,"predictable","squirrel",1075.86,1,1,"order memory",0.166666666666667
3601810,6,3,3,"predictable","cardinal",2387.83,1,1,"order memory",0.166666666666667
3601810,6,3,4,"predictable","killerwhale",2755.26,1,1,"order memory",0.166666666666667
3601810,6,3,5,"predictable","squid",707.82,1,1,"order memory",0.166666666666667
3601810,6,3,6,"predictable","octopus",811.95,1,1,"order memory",0.166666666666667
